time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-16 00:00:00+00:00,,,2,2
2024-06-18 00:00:00+00:00,2.0,1.0,9,5
2024-06-19 00:00:00+00:00,,,6,4
2024-06-21 00:00:00+00:00,10.0,7.0,36,7
2024-06-22 00:00:00+00:00,,,16,4
2024-06-23 00:00:00+00:00,3.0,3.0,31,10
2024-06-24 00:00:00+00:00,1.0,1.0,7,5
2024-06-25 00:00:00+00:00,1.0,1.0,9,7
2024-06-26 00:00:00+00:00,5.0,5.0,40,9
2024-06-27 00:00:00+00:00,,,20,5
2024-06-28 00:00:00+00:00,3.0,2.0,3,3
2024-06-29 00:00:00+00:00,,,39,11
